i_epoch,env_reward,running_reward,training_step,hpwl,cost,epoch_time
376, -68.21, -76.08, 31500,  706495.92,  787791.08, 1.16
377, -69.67, -75.44, 31500,  721471.83,  798979.58, 1.18
378, -63.06, -74.21, 31500,  653189.59,  735945.17, 1.17
379, -65.63, -73.35, 31920,  679531.59,  764029.24, 10.66
380, -66.09, -72.62, 31920,  687178.67,  778875.25, 1.29
381, -83.86, -73.75, 31920,  868173.07,  955923.52, 1.16
382, -74.54, -73.83, 31920,  772674.20,  866150.03, 1.18
383, -64.52, -72.90, 31920,  668344.46,  746735.57, 1.19
384, -111.64, -76.77, 32340,  1156580.92,  1238875.46, 10.69
385, -60.00, -75.09, 32340,  620969.42,  696625.28, 1.25
386, -156.35, -83.22, 32340,  1618703.05,  1715009.65, 1.17
387, -59.67, -80.86, 32340,  622547.92,  701558.50, 1.17
388, -59.47, -78.73, 32340,  616069.18,  695211.58, 1.18
389, -61.68, -77.02, 32760,  641448.81,  737354.87, 10.74
390, -76.22, -76.94, 32760,  789512.57,  909206.64, 1.29
391, -62.59, -75.51, 32760,  648667.00,  726766.43, 1.17
392, -61.78, -74.13, 32760,  639992.57,  732788.14, 1.17
393, -73.72, -74.09, 32760,  763055.25,  859886.21, 1.17
394, -66.25, -73.31, 33180,  686098.05,  762841.02, 10.96
395, -83.55, -74.33, 33180,  864794.79,  970334.53, 1.27
396, -68.82, -73.78, 33180,  712928.44,  783761.52, 1.17
397, -60.37, -72.44, 33180,  625355.67,  709478.32, 1.18
398, -66.07, -71.80, 33180,  684486.00,  754106.77, 1.17
399, -77.60, -72.38, 33600,  804281.75,  945211.20, 10.87
400, -63.64, -71.51, 33600,  660296.78,  736078.78, 1.31
401, -68.03, -71.16, 33600,  709341.13,  802262.19, 1.20
402, -64.38, -70.48, 33600,  666703.06,  746719.00, 1.20
403, -66.14, -70.05, 33600,  684827.98,  761709.00, 1.19
404, -62.41, -69.28, 34020,  646472.95,  726842.14, 10.78
405, -63.51, -68.71, 34020,  657846.30,  728986.02, 1.30
406, -60.23, -67.86, 34020,  629727.76,  710391.32, 1.19
407, -78.15, -68.89, 34020,  809476.73,  882714.17, 1.21
408, -66.19, -68.62, 34020,  687620.62,  787388.52, 1.22
409, -64.46, -68.20, 34440,  667488.79,  758367.24, 10.83
410, -61.32, -67.51, 34440,  634780.07,  719438.27, 1.27
411, -91.05, -69.87, 34440,  948674.91,  1034126.04, 1.18
412, -67.25, -69.61, 34440,  698861.17,  785515.54, 1.16
413, -81.90, -70.83, 34440,  848964.62,  931807.47, 1.18
414, -64.67, -70.22, 34860,  670168.06,  752857.07, 10.72
